review_text,rating,review_date,product_name
"타일 틈새 곰팡이가 진짜 잘 지워져요 강추합니다",5,2024-01-03,욕실 틈새 청소솔
"배송이 생각보다 빨라서 좋았어요 솔모가 촘촘해서 만족합니다",5,2024-01-04,욕실 틈새 청소솔
"손잡이가 짧아서 쓰기 불편해요 허리 아파요",2,2024-01-05,욕실 틈새 청소솔
"가격 대비 성능 괜찮은 것 같아요 무난합니다",3,2024-01-06,욕실 틈새 청소솔
"실리콘 틈새 곰팡이 제거에 최고예요 재구매 의사 있습니다",5,2024-01-07,욕실 틈새 청소솔
"솔이 금방 닳아서 오래 못 쓸 것 같아요 아쉽습니다",2,2024-01-08,욕실 틈새 청소솔
"그냥 평범한 솔이에요 특별하지 않아요",3,2024-01-09,욕실 틈새 청소솔
"포장 상태가 별로였어요 박스가 찌그러져서 왔습니다",2,2024-01-10,욕실 틈새 청소솔
"타일 사이 물때 제거에 탁월합니다 매일 쓰고 있어요",5,2024-01-11,욕실 틈새 청소솔
"배송이 너무 늦었어요 일주일 넘게 걸렸습니다",1,2024-01-12,욕실 틈새 청소솔
"디자인이 예쁘고 손에 잘 잡혀요 만족스럽습니다",4,2024-01-13,욕실 틈새 청소솔
"생각보다 솔모가 부드러워서 세게 문질러도 잘 안 지워져요",2,2024-01-14,욕실 틈새 청소솔
"가성비 최고 하나 더 주문했어요",5,2024-01-15,욕실 틈새 청소솔
"고객센터 응대가 친절했어요 교환도 빠르게 해주셨습니다",4,2024-01-16,욕실 틈새 청소솔
"제품 불량입니다 솔모가 다 빠져있어요",1,2024-01-17,욕실 틈새 청소솔
"욕실 청소가 훨씬 수월해졌어요 강력 추천합니다",5,2024-01-18,욕실 틈새 청소솔
"별 기대 안했는데 생각보다 쓸만하네요",4,2024-01-19,욕실 틈새 청소솔
"틈새 부분 커브가 잘 맞아서 편해요",4,2024-01-20,욕실 틈새 청소솔
"곰팡이가 다시 생기는 걸 보니 효과가 오래가진 않는 듯해요",3,2024-01-21,욕실 틈새 청소솔
"재구매했어요 항상 만족하며 쓰고 있습니다",5,2024-01-22,욕실 틈새 청소솔
"배송 지연되고 연락도 안돼서 답답했어요",1,2024-01-23,욕실 틈새 청소솔
"품질이 기대 이하입니다 실망했어요",1,2024-01-23,욕실 틈새 청소솔
"고객센터 연결이 안됩니다 화가 나네요",1,2024-01-24,욕실 틈새 청소솔
"이 가격에 이 정도면 훌륭하죠",4,2024-01-24,욕실 틈새 청소솔
"솔대가 휘어져서 왔어요 불량인 것 같습니다",1,2024-01-24,욕실 틈새 청소솔
"세면대 배수구 청소할 때도 유용해요",4,2024-01-25,욕실 틈새 청소솔
"배송 늦고 제품도 별로에요 두번 다시 안삽니다",1,2024-01-25,욕실 틈새 청소솔
"손목에 무리가 안가서 좋아요 어르신 선물용으로 샀어요",5,2024-01-25,욕실 틈새 청소솔
"평범합니다 특별한 감흥은 없어요",3,2024-01-26,욕실 틈새 청소솔
"타일 줄눈 청소에 특화된 느낌이라 좋아요",5,2024-01-26,욕실 틈새 청소솔
"가격대비 무난한 편입니다",3,2024-01-27,욕실 틈새 청소솔
"곰팡이 제거력은 좋은데 냄새가 좀 나요",3,2024-01-27,욕실 틈새 청소솔
"환불 요청했는데 처리가 너무 느립니다",1,2024-01-28,욕실 틈새 청소솔
"만족스러운 구매였습니다 감사합니다",5,2024-01-28,욕실 틈새 청소솔
"별로예요",1,2024-01-15,욕실 틈새 청소솔
"good",4,2024/01/16,욕실 틈새 청소솔
"타일 틈새 곰팡이가 진짜 잘 지워져요 강추합니다",5,2024-01-03,욕실 틈새 청소솔
"",3,2024-01-17,욕실 틈새 청소솔
"솔모가 촘촘하고 튼튼해서 오래 쓸 수 있을 것 같습니다 매우 만족",,2024-01-19,욕실 틈새 청소솔
"배송도 빠르고 제품도 좋아요 다음에도 이용할게요",5,,욕실 틈새 청소솔
