id,raw_id,review_text,rating,review_date,product_name,dedup_key,cleaned_at,sentiment,sentiment_score,analyzed_at
1,1,타일 틈새 곰팡이가 진짜 잘 지워져요 강추합니다,5.0,2024-01-03,욕실 틈새 청소솔,타일 틈새 곰팡이가 진짜 잘 지워져요 강추합니다||2024-01-03||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.95,2026-08-21T14:53:50.860501
2,2,배송이 생각보다 빨라서 좋았어요 솔모가 촘촘해서 만족합니다,5.0,2024-01-04,욕실 틈새 청소솔,배송이 생각보다 빨라서 좋았어요 솔모가 촘촘해서 만족합니다||2024-01-04||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:53:51.484906
3,3,손잡이가 짧아서 쓰기 불편해요 허리 아파요,2.0,2024-01-05,욕실 틈새 청소솔,손잡이가 짧아서 쓰기 불편해요 허리 아파요||2024-01-05||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:53:52.450208
4,4,가격 대비 성능 괜찮은 것 같아요 무난합니다,3.0,2024-01-06,욕실 틈새 청소솔,가격 대비 성능 괜찮은 것 같아요 무난합니다||2024-01-06||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,neutral,0.5,2026-08-21T14:53:53.440790
5,5,실리콘 틈새 곰팡이 제거에 최고예요 재구매 의사 있습니다,5.0,2024-01-07,욕실 틈새 청소솔,실리콘 틈새 곰팡이 제거에 최고예요 재구매 의사 있습니다||2024-01-07||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.95,2026-08-21T14:53:54.196237
6,6,솔이 금방 닳아서 오래 못 쓸 것 같아요 아쉽습니다,2.0,2024-01-08,욕실 틈새 청소솔,솔이 금방 닳아서 오래 못 쓸 것 같아요 아쉽습니다||2024-01-08||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:53:55.143540
7,7,그냥 평범한 솔이에요 특별하지 않아요,3.0,2024-01-09,욕실 틈새 청소솔,그냥 평범한 솔이에요 특별하지 않아요||2024-01-09||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,neutral,0.5,2026-08-21T14:53:56.571130
8,8,포장 상태가 별로였어요 박스가 찌그러져서 왔습니다,2.0,2024-01-10,욕실 틈새 청소솔,포장 상태가 별로였어요 박스가 찌그러져서 왔습니다||2024-01-10||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.85,2026-08-21T14:53:57.304101
9,9,타일 사이 물때 제거에 탁월합니다 매일 쓰고 있어요,5.0,2024-01-11,욕실 틈새 청소솔,타일 사이 물때 제거에 탁월합니다 매일 쓰고 있어요||2024-01-11||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:53:58.336317
10,10,배송이 너무 늦었어요 일주일 넘게 걸렸습니다,1.0,2024-01-12,욕실 틈새 청소솔,배송이 너무 늦었어요 일주일 넘게 걸렸습니다||2024-01-12||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:53:59.067604
11,11,디자인이 예쁘고 손에 잘 잡혀요 만족스럽습니다,4.0,2024-01-13,욕실 틈새 청소솔,디자인이 예쁘고 손에 잘 잡혀요 만족스럽습니다||2024-01-13||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:53:59.956197
12,12,생각보다 솔모가 부드러워서 세게 문질러도 잘 안 지워져요,2.0,2024-01-14,욕실 틈새 청소솔,생각보다 솔모가 부드러워서 세게 문질러도 잘 안 지워져요||2024-01-14||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.7,2026-08-21T14:54:01.180041
13,13,가성비 최고 하나 더 주문했어요,5.0,2024-01-15,욕실 틈새 청소솔,가성비 최고 하나 더 주문했어요||2024-01-15||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:54:02.040071
